Ratings,RAM,ROM,Mobile_Size,Primary_Cam,Selfi_Cam,Battery_Power,Price
3.4,6,64,4.5,48,8,3000,1199
3.9,6,32,4.54,48,0,3000,1200
3.4,6,64,4.54,20,8,3500,639
4.1,6,32,4.5,48,8,3000,3000
4.5,6,64,6.3,48,2,3750,25999
3.5,6,64,4.5,48,8,3000,639
3.5,6,64,4.5,48,8,3000,639
4.1,6,32,4.77,48,5,2500,1225
3.9,6,32,4.54,48,8,3000,1049
3.5,2,16,5.5,5,5,2500,4999
4.6,4,64,6.6,38,2,5000,9499
4.5,4,128,6.5,48,8,5000,11999
4.5,4,128,6.5,48,8,5000,11999
4.5,4,128,6.5,48,8,5000,11999
4.4,6,128,6.53,64,8,4700,16999
4.4,6,128,6.5,64,8,4700,16999
4.5,6,64,6.67,64,8,4700,17499
4.5,6,64,6.6,64,12,4700,17999
4.4,4,128,6.5,48,8,5000,16990
4.4,3,32,6.35,38,8,5000,10990
4.5,6,128,6.5,64,8,5000,17499
4.4,3,32,6.35,38,8,5000,10990
4.3,3,32,6.22,38,2,4230,9990
4.3,3,32,6.22,38,2,4230,9990
4.3,4,64,7,48,5,6000,9999
4.3,4,64,7,48,5,6000,9999
4.3,4,64,6.5,35,2,4230,12490
4.3,8,128,6.5,48,8,5000,15990
4.3,2,32,6.2,38,2,4230,8990
4.4,4,64,6.35,38,2,5000,12900
4.3,3,32,5.7,38,2,3800,9939
4.4,3,64,6.35,38,2,5000,12649
4.3,3,32,5.7,38,2,3800,9987
3.4,6,64,4.5,48,8,3000,599
4.3,4,4,4.5,64,8,3500,3000
4.4,6,64,6.4,48,5,3800,18999
4.5,6,128,6.18,35,5,3800,18999
4.7,8,64,5.8,35,12,3500,140300
4.4,8,128,6.7,64,5,4700,29999
4.5,8,128,6.7,48,12,4700,47999
4.4,4,128,6.53,48,2,4020,16490
4.5,8,256,6.18,35,5,3800,22999
3.9,6,32,4.54,64,8,4100,1099
3.8,6,32,4.5,64,8,1050,1299
4.5,2,16,5.5,8,8,4200,5498
3.8,6,32,4.7,64,8,4300,3999
4.5,8,256,6.67,48,8,3800,43999
4.6,6,128,6.67,48,8,3800,42990
4.1,6,32,3.7,64,8,3500,990
4.5,8,128,6.7,64,1,4700,77999
4.5,8,128,6.7,48,12,4700,47999
4.3,2,32,6.2,38,2,4230,12990
4.1,8,64,4.54,64,8,2500,1199
3.7,6,32,2,64,8,1550,1699
3.8,6,32,4.54,48,8,3000,1349
3.8,6,32,4.54,25,8,3000,1240
4.5,6,32,4.5,25,8,1080,649
4.5,6,32,4.5,25,8,1080,649
3.9,4,24,4.77,48,8,1750,984
4,6,32,3.7,16,8,3000,975
4.1,6,64,4.5,48,8,3000,985
4.5,6,128,6.39,48,13,3800,24999
3.9,6,32,4.54,25,8,3000,1329
3.5,6,64,4.5,48,8,3000,599
4.6,8,256,6.55,48,1,3000,38050
4.6,8,128,6.55,48,1,3000,37319
4.5,6,64,5.5,35,12,3500,36999
4.5,8,128,6.5,64,13,3800,31999
4.6,12,25,6.5,64,13,3800,35999
4.5,8,128,6.5,64,13,3800,31999
4.4,6,128,6.59,48,8,3800,16999
